Date	Price	Open	High	Low	Vol.	Change %	Abs value	 Volatility in $ 	Daily Volatility in %							
"Jul 06, 2020"	"3,172.00"	"3,121.25"	"3,174.50"	"3,121.25"	1.46M	1.81%	2%	 ? 53.25 	1.71%							
"Jul 03, 2020"	"3,115.62"	"3,126.62"	"3,138.62"	"3,105.75"	-	-0.43%	0%	 ? 32.87 	1.05%							
"Jul 02, 2020"	"3,129.00"	"3,101.75"	"3,156.50"	"3,095.50"	1.55M	0.84%	1%	 ? 61.00 	1.97%							
"Jul 01, 2020"	"3,103.00"	"3,085.25"	"3,117.75"	"3,062.75"	1.54M	0.41%	0%	 ? 55.00 	1.78%							
"Jun 30, 2020"	"3,090.25"	"3,046.00"	"3,101.25"	"3,030.25"	1.72M	1.39%	1%	 ? 71.00 	2.33%							
"Jun 29, 2020"	"3,047.75"	"2,986.25"	"3,051.25"	"2,983.50"	1.59M	1.36%	1%	 ? 67.75 	2.27%							
"Jun 26, 2020"	"3,007.00"	"3,071.25"	"3,082.00"	"2,992.50"	2.21M	-2.08%	2%	 ? 89.50 	2.91%							
"Jun 25, 2020"	"3,070.75"	"3,046.75"	"3,079.50"	"3,005.00"	1.97M	0.71%	1%	 ? 74.50 	2.45%							
"Jun 24, 2020"	"3,049.00"	"3,113.25"	"3,128.50"	"3,019.75"	2.39M	-2.23%	2%	 ? 108.75 	3.49%							
"Jun 23, 2020"	"3,118.50"	"3,111.75"	"3,145.75"	"3,060.00"	1.53M	0.25%	0%	 ? 85.75 	2.76%							
"Jun 22, 2020"	"3,110.75"	"3,040.25"	"3,114.25"	"3,027.25"	1.39M	-1.60%	2%	 ? 87.00 	2.86%							
"Jun 19, 2020"	"3,161.26"	"3,108.25"	"3,196.00"	"3,106.75"	36.16K	1.68%	2%	 ? 89.25 	2.87%							
"Jun 18, 2020"	"3,109.00"	"3,115.00"	"3,130.50"	"3,075.25"	373.72K	-0.29%	0%	 ? 55.25 	1.77%							
"Jun 17, 2020"	"3,118.00"	"3,122.00"	"3,157.75"	"3,105.00"	610.88K	-0.34%	0%	 ? 52.75 	1.69%							
"Jun 16, 2020"	"3,128.75"	"3,076.25"	"3,167.75"	"3,071.25"	1.38M	1.81%	2%	 ? 96.50 	3.14%							
